,molregno,canonical_smiles,standard_value,standard_units
258,1157574,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2CC(=O)[C@H]([C@@H](C)CC)/N=C(\S)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,22.60103479255038,ug.mL-1
934,210852,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(-c2ccc(Cl)cc2)c1O,29.17092029363375,ug.mL-1
2313,578116,CO[C@H]1[C@H]([C@@]2(C)O[C@@H]2CC=C(C)C)[C@]2(CC[C@H]1OC(=O)N[C@@H](C(=O)NCCC1CCCN1C)C(C)C)CO2,23.460148986330335,ug.mL-1
270,1157442,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)NO)NC(=O)[C@H]2CCCCN2CC1=O,28.613071498058538,ug.mL-1
3256,1337463,COc1cc(NC(C)CCCNC(=O)[C@H](CCCN)NC(=O)[C@@H](N)CCCN)c2nc(C(C)(C)C)ccc2c1,19.42086583328758,ug.mL-1
3530,1724581,COc1cc(NC(C)CCCNC(C)CCCNC(C)CCCNC(C)CCCN)c2nc(C(C)(C)C)ccc2c1.Cl,20.804470506643167,ug.mL-1
1496,471851,COc1ccc(Nc2ncnc3ccc(NC(=O)Nc4ccc(C)c(Cl)c4)cc23)cc1,22.884054619641418,ug.mL-1
1782,515035,C[C@@]12CC[C@H]3[C@](C)(C1=CC[C@H]2c1ccoc1)[C@H](O)[C@@H]1OC[C@]2(C)C=CC(=O)[C@@]3(C)[C@@H]12,21.297771461252694,ug.mL-1
2348,594176,CCCCNC(=O)C(=O)NCCCNc1ccnc2cc(Cl)ccc12,21.164531957915987,ug.mL-1
321,1157602,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](c2cnc3ccccc3c2O)NC1=O,23.444153286850113,ug.mL-1
2380,590637,CCNC(=O)NC[C@H]1CC[C@]2(CC1)OO[C@]1(O2)C2CC3CC(C2)CC1C3,26.950258045850376,ug.mL-1
2919,1070533,CC(C)N1C(=O)C(=O)N=C1/N=C(\NCc1ccccc1)Nc1ccc(Cl)c(Cl)c1,18.275217882172655,ug.mL-1
1732,463149,COc1cc(O)c(-c2ccc(OC)c3c(O)cc(C)cc23)c2c1[C@@H](C)N[C@H](C)C2,19.097401242295515,ug.mL-1
2064,502910,CCC[C@@H](O)C1=C(Br)/C(=C/Cl)OC1=O,17.680807876891212,ug.mL-1
562,255358,CO/C=C(/C(=O)OC)c1ccccc1/C=C/C=C/c1ccc(C(F)(F)F)cc1C(F)(F)F,29.66000673182811,ug.mL-1
3538,1736377,Cc1ccc(N2C(N)=C(C(N)=O)C(c3c(C)nn(-c4ccccc4)c3-n3ccnc3)C3=C2CC(C)(C)CC3=O)cc1,20.096478079650655,ug.mL-1
1993,462443,CC(=O)O[C@@H]1[C@H](C)CC2[C@@H]3C4OC(C[C@](C)(O)C(=O)CC[C@]4(C)OC[C@@H]2C)[C@@H]31,16.902778218982395,ug.mL-1
1796,483513,CC(=O)O[C@@H]1CO[C@H](Oc2c(C)c3c4c(c2O)[C@@H](C)CC[C@@H]4[C@@H](C)C[C@H]3C=C(C)C)[C@@H](O)[C@@H]1O,17.033531280494554,ug.mL-1
2275,579563,O=C(O)C1CCN(C(=O)C[C@H]2CC[C@]3(CC2)OO[C@]2(O3)C3CC4CC(C3)CC2C4)CC1,23.49942456800356,ug.mL-1
2663,684007,COc1ccc(OC)c(/C=C/C(=O)c2ccc3oc(=O)cc(C)c3c2O)c1,15.113981394209885,ug.mL-1
1753,463350,COc1cc2c(c(OC)c1-c1c(C)cc3cccc(OC)c3c1O)[C@@H](C)N(C)[C@@H](C)C2,17.6511436997627,ug.mL-1
1578,505496,C=C1CC2OC3[C@H]4C(CC[C@@](C)(OC(=O)CCC)[C@@H]24)[C@@H](C)C(=O)O[C@@]3(C)CC[C@H]1O,17.292115067511773,ug.mL-1
1574,505482,CC(=O)O[C@]1(C)CCC2[C@@H]3C4OC(C[C@@](C)(O)[C@H](O)CC[C@]4(C)OC(=O)[C@@H]2C)[C@@H]31,16.741861085728203,ug.mL-1
50,130891,COCC[C@@H]1CCC[C@@H]2CC[C@]3(C)OO[C@@]12[C@@H](OC)O3,25.07221071429668,ug.mL-1
1537,471715,Cc1cc(NC(=O)CN2CCN(C)CC2)c2cc(NC(=O)Nc3cccc(Cl)c3)ccc2n1,24.304587919636546,ug.mL-1
3773,2352317,CC(=O)Nc1ccc(S(=O)(=O)NC(Cc2ccccc2)c2nc3ccccc3c(=O)n2/N=C/c2ccc(Cl)cc2)cc1,20.38696025310452,ug.mL-1
346,123277,C[C@]1(c2ccccc2)CC[C@@H]2CC[C@]3(C)OC[C@@]2(C1)OO3,23.822619807596762,ug.mL-1
2466,11501,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,22.532957829144774,ug.mL-1
3385,1356739,CC1=CSC2=NC(/C=C/c3ccc(Br)cc3)=C(C(=O)/C=C/c3ccc(Br)cc3)C(c3ccccc3)N12,18.559947978558768,ug.mL-1
3254,1337466,COc1cc(NC(C)CCCNC(=O)[C@@H](CCCN)NC(=O)[C@H](N)CCCN)c2nc(C(C)(C)C)ccc2c1,18.92009054537509,ug.mL-1
1391,51524,O=C(O)c1ccc(O)c(O)c1,17.243810653717638,ug.mL-1
455,86582,C[C@@H]1CC[C@@H]([C@@H](C)COCc2ccccc2)[C@@]23CC[C@@](C)(CC[C@@H]12)OO3,20.935374938928838,ug.mL-1
3811,2386662,Cc1nn(-c2ccccc2)c(-n2ccnc2)c1C1CC(c2ccc(Br)cc2)=NN1,24.341678119040534,ug.mL-1
2329,594306,CCN(CC)CCNc1nc(NCCNc2ccnc3cc(Cl)ccc23)nc(N2CCOCC2)n1,23.54548298913495,ug.mL-1
1196,419629,C=C[C@@]1(O)CC[C@@H]2[C@@]3(C)CCCC(C)(C)[C@@H]3CC[C@@]2(O)C1,17.12360497944057,ug.mL-1
282,1157567,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCC(=O)OC)NC(=O)[C@H]2CCCCN2CC1=O,20.25448865530625,ug.mL-1
2489,507194,Cc1cccc(-c2cn(CCCCCC(=O)NO)nn2)c1,22.16793661983334,ug.mL-1
3449,1512808,Cc1cc(NCc2ccc(F)cc2)nc(Nc2ccc(OCCCCCOc3ccc(Nc4nc(C)cc(NCc5ccc(F)cc5)n4)cc3)cc2)n1,23.624094724371613,ug.mL-1
289,259022,C[C@@H](C[C@@H](C)[C@H](O)CO)[C@@H](C)O,17.329219965026876,ug.mL-1
1337,442660,COc1cc(O)c(-c2ccc(OC)c3c(O)cc(C)cc23)c2c1[C@H](C)N[C@H](C)C2,20.410445141675815,ug.mL-1
3233,1283826,CCOC(=O)c1cn(Cc2cn(Cc3ccccc3)nn2)c2cc(Cl)c(F)cc2c1=O,17.402806507530546,ug.mL-1
237,1367944,COC(=O)[C@@H](C)CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3,27.69678024598653,ug.mL-1
1345,430612,O=C1c2ccccc2-[n+]2ccc3c([nH]c4ccccc43)c21.[Cl-],22.922944915867415,ug.mL-1
636,104908,OC1(Cc2ccccc2)c2ccccc2C2=NCCCN21,19.444407835428684,ug.mL-1
1036,376884,COc1cc(N(C)CCCNC(=O)N[C@@H](CCCNC(=N)N)C(=O)O)c2nc(C(C)(C)C)ccc2c1,21.23735014542732,ug.mL-1
3740,2325318,C=C1C[C@H]2C3=C(OC(C)(C)[C@@H]2CC1OO)C(=O)C(CCCCC)=CC3=O,19.70286380881486,ug.mL-1
3228,1283831,CCOC(=O)c1cn(Cc2ccccc2)c2cc(Cl)c(F)cc2c1=O,17.7796897357597,ug.mL-1
1646,462553,COc1cc2c(cc1O)C[C@@H]1NCCc3cc(OC)c(OC)c-2c31,18.24565558054488,ug.mL-1
1175,64200,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,23.752519232679102,ug.mL-1
2277,579580,CC(C)(N)CNC(=O)[C@H]1CC[C@]2(CC1)OO[C@]1(O2)C2CC3CC(C2)CC1C3.Cc1ccc(S(=O)(=O)O)cc1,28.420783079473352,ug.mL-1
3873,2479449,COC(=O)CC[C@H](OC1O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3)c1ccc(F)cc1,27.37887420649372,ug.mL-1
2383,590640,Cc1ccc(S(=O)(=O)O)cc1.O=C(NC[C@H]1CC[C@]2(CC1)OO[C@]1(O2)C2CC3CC(C2)CC1C3)N1CCNCC1,27.46805918174429,ug.mL-1
257,1157575,CCC(CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2CC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O)SC(C)=O,20.891280737583386,ug.mL-1
3627,2204969,O=C1CCSC(c2ccc(O)cc2)N1CCCNc1ccnc2cc(Cl)ccc12,19.74350501880277,ug.mL-1
1514,494118,COc1cc(/C=C/C(=O)c2ccc(-n3cccn3)cc2)cc(OC)c1OC,17.92200599835536,ug.mL-1
1498,472157,COc1ccc(Nc2ncnc3ccc(NC(=O)Nc4ccc(C)c(Cl)c4)cc23)cc1OC,23.75840205971074,ug.mL-1
1984,481816,CO[C@@H]1c2cc(O)c(O)cc2O[C@@]2(C)CC[C@H]3C(C)(C)CCC[C@]3(C)[C@@H]12,20.619276602874304,ug.mL-1
2175,558089,C/C=C1\C[N+]2([O-])[C@H]3C[C@@H]1[C@]1(C(=O)OC)[C@@H](OC(C)=O)[C@]4(C[C@@H]12)c1ccccc1N(C)[C@H]34,17.942166844278763,ug.mL-1
1837,443696,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@@H]1NCCc2cc(O)c(O)cc21,19.525043135712156,ug.mL-1
3318,1341984,C=C(c1ccc(C)cc1)C1COC(c2cc(C(C)CC)c3oc(=O)c(C(=O)OCC)cc3c2)OO1,23.223292245112965,ug.mL-1
1194,419627,C=C[C@]1(C)C=C2CC[C@H]3C(C)(CO)[C@@H](O)CC[C@]3(C)[C@H]2CC1,17.58818610653484,ug.mL-1
2722,708644,CCCCCCCCCCC#CCCCC(=O)O,18.215115653178568,ug.mL-1
3877,2484286,C[C@@H]1CC[C@H]2[C@](C)(Br)[C@@H](Nc3cccc(F)c3)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@]32OO4,28.679111742249077,ug.mL-1
3487,1584217,COC(=O)c1ccc(C2O[C@]34CC(c5ccccc5)(c5ccccc5)OC(=O)C3=C[C@@]2(C)OO4)cc1,18.27230458128937,ug.mL-1
2563,614727,C[C@@]12C=CC[C@]3(C)C(=O)O[C@H](C=C4COC(=O)C=C41)C23,21.194371799575862,ug.mL-1
870,452416,C1CCC2(CC1)OOC1(O2)C2CC3CC(C2)CC1C3,26.331055768457176,ug.mL-1
1374,217097,COc1cnc2c3c(nccc13)C(=O)c1ccccc1-2,20.65784311549512,ug.mL-1
2267,579646,O=CN1CCN(C(=O)C[C@H]2CC[C@]3(CC2)OO[C@]2(O3)C3CC4CC(C3)CC2C4)CC1,27.22205942570536,ug.mL-1
2782,1705934,COc1cc(NC(C)CCCNC(=O)NCCCC(C)Nc2cc(OC)cc3cccnc23)c2ncccc2c1.Cl.Cl,18.68113950955873,ug.mL-1
2666,684072,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(F)cc1,14.908497051480817,ug.mL-1
3551,1736390,Cc1nn(-c2ccccc2)c(-n2ccnc2)c1C1C(C(N)=O)=C(N)N(c2cccc(O)c2)C2=C1C(=O)CC(C)(C)C2,20.686883897676612,ug.mL-1
2370,590529,CS(=O)(=O)O.O=C(NC[C@H]1CC[C@]2(CC1)OO[C@]1(O2)C2CC3CC(C2)CC1C3)C(=O)N1CCNCC1,27.6116797155842,ug.mL-1
477,192671,COC(=O)/C(=C/Cn1c(-c2ccccc2)ncc(NC(=O)N2CCN(C(C)=O)CC2)c1=O)COC(C)=O,24.12746850213837,ug.mL-1
3772,2419453,CC(=O)Nc1ccc(S(=O)(=O)NC(Cc2ccccc2)c2nc3ccccc3c(=O)n2/N=C/c2ccccc2Br)cc1,20.640739452260934,ug.mL-1
3700,2292017,CC(=O)Nc1ccc(S(=O)(=O)NC(C)c2nc3ccccc3c(=O)n2/N=C/c2ccc(Br)cc2)cc1,20.558906760631604,ug.mL-1
3315,1341981,C=C(c1ccc(C)cc1)C1COC(c2cc(C)c3oc(=O)c(C(=O)OC)cc3c2)OO1,20.88180473456186,ug.mL-1
11191,685020,C=CCON,inf,nM
95,575657,C[C@@H]1CC[C@H]2[C@@H](CCCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)CO[C@@H]3O[C@]4(C)CC[C@@H]1[C@@]23OO4,27.203190445163255,ug.mL-1
2498,598466,CN(C)c1ccc(-c2cn(CCCCCCCC(=O)NO)nn2)cc1,21.347749242440386,ug.mL-1
3192,1202660,CCCCCC(C)NCc1coc(-c2ccc(-c3ccccc3)cc2)n1,19.1503262999334,ug.mL-1
394,1542806,C[C@@H]1CC[C@H]2[C@H](CO)CO[C@@H]3O[C@]4(C)CC[C@@H]1[C@@]23OO4,22.279134182037755,ug.mL-1
1303,425195,CC(C)=CCc1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc(CC=C(C)C)c1O,17.882077635218653,ug.mL-1
659,105372,COc1cc(Cc2nn(C)c(=O)c3ccccc23)cc(OC)c1OC,16.17983435783382,ug.mL-1
1195,419626,C=C[C@@]1(C)CCC2[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@@]2(O)C1,17.594785537325567,ug.mL-1
880,540341,CC(C)(C)NC(=O)N1CCC2(CC1)OOC1(O2)C2CC3CC(C2)CC1C3,26.641956686195858,ug.mL-1
3555,1736394,Cc1nn(-c2ccccc2)c(-n2ccnc2)c1C1C(C(N)=O)=C(N)N(c2ccc(O)cc2)C2=C1C(=O)CCC2,23.48362285904855,ug.mL-1
11119,685148,CCNC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@]2(C[C@H]1C[C@H]3OC(C)=O)OOC1(CC[C@@H](C)CC1)OO2,inf,nM
3397,1356756,CC1=CSC2=NC(/C=C/c3ccc(Br)cc3)=C(C(=O)/C=C/c3ccc(Br)cc3)C(c3ccc(Cl)cc3)N12,20.05782420200621,ug.mL-1
56,137821,C/C=C1\C(=O)O[C@@H]2O[C@@]3(C)CCC4[C@H](C)CC[C@@H]1[C@]42OO3,25.666087835691005,ug.mL-1
3424,1168697,CCCCC/C=C/c1c(O)cc(CC=C(C)C)c(O)c1CO,18.504332316447975,ug.mL-1
3623,1501459,COc1ccc(C2SCCC(=O)N2CCCNc2ccnc3cc(Cl)ccc23)cc1,20.560710707698412,ug.mL-1
73,137186,C[C@@H]1CCC2[C@]3(CO3)[C@@H](OO)O[C@@H]3O[C@@]4(C)CCC1[C@@]23OO4,25.444102534619127,ug.mL-1
2471,507057,O=C(CCCCCn1cc(-c2ccc3ccccc3n2)nn1)NO,22.981874455471853,ug.mL-1
1642,504295,COc1cc2c(cc1OC)-c1c(OC)c(OC)c(OC)c3c1[C@H](C2)NCC3,19.320769405097547,ug.mL-1
1397,465485,C=C(CC[C@H](O)[C@@]1(C)CC[C@H](C(C)(C)O)O1)[C@H]1CC[C@H]2[C@@]1(C)CC[C@H]1C(C)(C)C(=O)CC[C@]21C,17.493341703668236,ug.mL-1
3398,1356755,CC1=CSC2=NC(/C=C/c3ccc(Cl)cc3)=C(C(=O)/C=C/c3ccc(Cl)cc3)C(c3ccc(Cl)cc3)N12,20.3129720305933,ug.mL-1
2595,649383,CO[C@@H]1C=C[C@]23c4cc5c(cc4[C@@H](O)N(C[C@@H]2O)[C@H]3C1)OCO5,20.654297124831487,ug.mL-1
3447,1512806,Cc1cc(NCc2ccccc2)nc(Nc2ccc(OCCCCCOc3ccc(Nc4nc(C)cc(NCc5ccccc5)n4)cc3)cc2)n1,23.30600767345015,ug.mL-1
3562,1782176,Cc1nn(-c2ccccc2)c(Oc2cccc(C(F)(F)F)c2)c1C1CC(c2ccc(F)cc2)=NN1c1ccc(Br)cc1,19.89142169466325,ug.mL-1
3320,1341986,C=C(c1ccc(Br)cc1)C1COC(c2cc(C)c3oc(=O)c(C(=O)OCC)cc3c2)OO1,21.437231461899135,ug.mL-1
